Exercício;"Código Agenda";"Programa";"Objetivo";"Objetivo Específico";"Indicador";"Meta do Objetivo Específico";"Público";"Unidade de Medida";"Valor esperado - 1º ano PPA";"Valor esperado - 2º ano PPA";"Valor esperado - 3º ano PPA";"Meta Final PPA";
2024;20;"1617";"1305";"0513";11193;"06S6";"Indígenas";"unidade";101,00;109,00;116,00;123,00;
2024;20;"5838";"1340";"0518";11645;"06ST";"Indígenas";"unidade";5,00;10,00;15,00;20,00;
2024;149;"1189";"1319";"0539";11497;"06E7";"Jovem";"unidade";600,00;1.200,00;1.800,00;2.400,00;
2024;149;"1189";"1319";"0539";11497;"06E7";"Mulheres";"unidade";1.000,00;2.000,00;3.000,00;4.000,00;
2024;21;"1617";"1305";"0168";11182;"06RB";"Indígenas";"%";68,46;69,58;70,72;71,42;
2024;21;"1617";"1305";"0513";11193;"06S6";"Indígenas";"unidade";101,00;109,00;116,00;123,00;
2024;25;"1191";"1328";"0325";10182;"05EJ";"Mulheres";"unidade";7.500,00;15.000,00;22.500,00;37.500,00;
2024;25;"1191";"1328";"0328";10086;"05DL";"Mulheres";;6.905,00;8.526,00;9.990,00;10.948,00;
2024;25;"1191";"1328";"0328";10086;"05DL";"Povos e Comunidades Tradicionais";;12.084,00;14.920,00;17.483,00;19.160,00;
2024;25;"1191";"1328";"0330";10532;"05H6";"Mulheres";;23.400,00;29.280,00;35.160,00;42.192,00;
2024;25;"1617";"1305";"0168";11182;"06RB";"Indígenas";"%";68,46;69,58;70,72;71,42;
2024;25;"1617";"1305";"0513";11193;"06S6";"Indígenas";"unidade";101,00;109,00;116,00;123,00;
2024;25;"1617";"1305";"0514";11222;"06SA";"Indígenas";"unidade";15,00;30,00;45,00;60,00;
2024;25;"4006";"1338";"0478";11048;"05OI";"Homens";"unidade";3.150,00;6.500,00;9.750,00;21.000,00;
2024;25;"4006";"1338";"0478";11048;"05OI";"Indígenas";"unidade";189,00;390,00;585,00;1.260,00;
2024;25;"4006";"1338";"0478";11048;"05OI";"Jovem";"unidade";315,00;650,00;975,00;2.100,00;
2024;25;"4006";"1338";"0478";11048;"05OI";"Mulheres";"unidade";3.150,00;6.500,00;9.750,00;21.000,00;
2024;25;"4006";"1338";"0478";11048;"05OI";"Pessoa com Deficiência";"unidade";315,00;650,00;975,00;2.100,00;
2024;25;"4006";"1338";"0478";11048;"05OI";"Pessoa Idosa";"unidade";189,00;390,00;585,00;1.260,00;
2024;25;"4006";"1338";"0478";11048;"05OI";"População Negra";"unidade";3.150,00;6.500,00;9.750,00;21.000,00;
2024;25;"4006";"1338";"0478";11048;"05OI";"Povos e Comunidades Tradicionais";"unidade";390,00;390,00;585,00;1.260,00;
2024;25;"4006";"1338";"0478";11048;"05OI";"Quilombolas";"unidade";315,00;650,00;975,00;2.100,00;
2024;25;"5136";"1327";"0344";10144;"05E7";"Quilombolas";"unidade";12.000,00;16.000,00;30.000,00;42.000,00;
2024;27;"1189";"1319";"0539";11497;"06E7";"Jovem";"unidade";600,00;1.200,00;1.800,00;2.400,00;
2024;27;"1189";"1319";"0539";11497;"06E7";"Mulheres";"unidade";1.000,00;2.000,00;3.000,00;4.000,00;
2024;27;"1191";"1328";"0325";10182;"05EJ";"Mulheres";"unidade";7.500,00;15.000,00;22.500,00;37.500,00;
2024;27;"1191";"1328";"0328";10086;"05DL";"Mulheres";;6.905,00;8.526,00;9.990,00;10.948,00;
2024;27;"1191";"1328";"0328";10086;"05DL";"Povos e Comunidades Tradicionais";;12.084,00;14.920,00;17.483,00;19.160,00;
2024;27;"1191";"1328";"0330";10532;"05H6";"Mulheres";;23.400,00;29.280,00;35.160,00;42.192,00;
2024;27;"5136";"1327";"0344";10144;"05E7";"Quilombolas";"unidade";12.000,00;16.000,00;30.000,00;42.000,00;
2024;28;"1191";"1328";"0325";10182;"05EJ";"Mulheres";"unidade";7.500,00;15.000,00;22.500,00;37.500,00;
2024;28;"1191";"1328";"0328";10086;"05DL";"Mulheres";;6.905,00;8.526,00;9.990,00;10.948,00;
2024;28;"1191";"1328";"0328";10086;"05DL";"Povos e Comunidades Tradicionais";;12.084,00;14.920,00;17.483,00;19.160,00;
2024;28;"1191";"1328";"0330";10532;"05H6";"Mulheres";;23.400,00;29.280,00;35.160,00;42.192,00;
2024;28;"1617";"1305";"0168";11182;"06RB";"Indígenas";"%";68,46;69,58;70,72;71,42;
2024;28;"1617";"1305";"0513";11193;"06S6";"Indígenas";"unidade";101,00;109,00;116,00;123,00;
2024;28;"1617";"1305";"0514";11222;"06SA";"Indígenas";"unidade";15,00;30,00;45,00;60,00;
2024;28;"5136";"1327";"0344";10144;"05E7";"Quilombolas";"unidade";12.000,00;16.000,00;30.000,00;42.000,00;
2024;29;"1191";"1328";"0325";10182;"05EJ";"Mulheres";"unidade";7.500,00;15.000,00;22.500,00;37.500,00;
2024;30;"1189";"1319";"0539";11497;"06E7";"Jovem";"unidade";600,00;1.200,00;1.800,00;2.400,00;
2024;30;"1189";"1319";"0539";11497;"06E7";"Mulheres";"unidade";1.000,00;2.000,00;3.000,00;4.000,00;
2024;30;"1191";"1328";"0325";10182;"05EJ";"Mulheres";"unidade";7.500,00;15.000,00;22.500,00;37.500,00;
2024;30;"1191";"1328";"0328";10086;"05DL";"Mulheres";;6.905,00;8.526,00;9.990,00;10.948,00;
2024;30;"1191";"1328";"0328";10086;"05DL";"Povos e Comunidades Tradicionais";;12.084,00;14.920,00;17.483,00;19.160,00;
2024;30;"1191";"1328";"0330";10532;"05H6";"Mulheres";;23.400,00;29.280,00;35.160,00;42.192,00;
2024;30;"1617";"1305";"0514";11222;"06SA";"Indígenas";"unidade";15,00;30,00;45,00;60,00;
2024;30;"5136";"1327";"0344";10144;"05E7";"Quilombolas";"unidade";12.000,00;16.000,00;30.000,00;42.000,00;
2024;33;"4006";"1338";"0478";11048;"05OI";"Homens";"unidade";3.150,00;6.500,00;9.750,00;21.000,00;
2024;33;"4006";"1338";"0478";11048;"05OI";"Indígenas";"unidade";189,00;390,00;585,00;1.260,00;
2024;33;"4006";"1338";"0478";11048;"05OI";"Jovem";"unidade";315,00;650,00;975,00;2.100,00;
2024;33;"4006";"1338";"0478";11048;"05OI";"Mulheres";"unidade";3.150,00;6.500,00;9.750,00;21.000,00;
2024;33;"4006";"1338";"0478";11048;"05OI";"Pessoa com Deficiência";"unidade";315,00;650,00;975,00;2.100,00;
2024;33;"4006";"1338";"0478";11048;"05OI";"Pessoa Idosa";"unidade";189,00;390,00;585,00;1.260,00;
2024;33;"4006";"1338";"0478";11048;"05OI";"População Negra";"unidade";3.150,00;6.500,00;9.750,00;21.000,00;
2024;33;"4006";"1338";"0478";11048;"05OI";"Povos e Comunidades Tradicionais";"unidade";390,00;390,00;585,00;1.260,00;
2024;33;"4006";"1338";"0478";11048;"05OI";"Quilombolas";"unidade";315,00;650,00;975,00;2.100,00;
2024;34;"1191";"1328";"0325";10182;"05EJ";"Mulheres";"unidade";7.500,00;15.000,00;22.500,00;37.500,00;
2024;34;"1191";"1328";"0328";10086;"05DL";"Mulheres";;6.905,00;8.526,00;9.990,00;10.948,00;
2024;34;"1191";"1328";"0328";10086;"05DL";"Povos e Comunidades Tradicionais";;12.084,00;14.920,00;17.483,00;19.160,00;
2024;34;"1191";"1328";"0330";10532;"05H6";"Mulheres";;23.400,00;29.280,00;35.160,00;42.192,00;
2024;34;"1617";"1305";"0168";11182;"06RB";"Indígenas";"%";68,46;69,58;70,72;71,42;
2024;34;"1617";"1305";"0513";11193;"06S6";"Indígenas";"unidade";101,00;109,00;116,00;123,00;
2024;34;"1617";"1305";"0514";11222;"06SA";"Indígenas";"unidade";15,00;30,00;45,00;60,00;
2024;34;"4006";"1338";"0478";11048;"05OI";"Homens";"unidade";3.150,00;6.500,00;9.750,00;21.000,00;
2024;34;"4006";"1338";"0478";11048;"05OI";"Indígenas";"unidade";189,00;390,00;585,00;1.260,00;
2024;34;"4006";"1338";"0478";11048;"05OI";"Jovem";"unidade";315,00;650,00;975,00;2.100,00;
2024;34;"4006";"1338";"0478";11048;"05OI";"Mulheres";"unidade";3.150,00;6.500,00;9.750,00;21.000,00;
2024;34;"4006";"1338";"0478";11048;"05OI";"Pessoa com Deficiência";"unidade";315,00;650,00;975,00;2.100,00;
2024;34;"4006";"1338";"0478";11048;"05OI";"Pessoa Idosa";"unidade";189,00;390,00;585,00;1.260,00;
2024;34;"4006";"1338";"0478";11048;"05OI";"População Negra";"unidade";3.150,00;6.500,00;9.750,00;21.000,00;
2024;34;"4006";"1338";"0478";11048;"05OI";"Povos e Comunidades Tradicionais";"unidade";390,00;390,00;585,00;1.260,00;
2024;34;"4006";"1338";"0478";11048;"05OI";"Quilombolas";"unidade";315,00;650,00;975,00;2.100,00;
2024;34;"5136";"1327";"0344";10144;"05E7";"Quilombolas";"unidade";12.000,00;16.000,00;30.000,00;42.000,00;
2024;34;"5661";"1289";"0057";11623;"06U0";"Mulheres";"unidade";300,00;350,00;350,00;350,00;
